grupo;tipo;confianca;motivo;similaridade_base;id;nome;marca;codigo_ref;ean;ncm;estoque_atual;estoque_min; preco_ou_valor ;codigo_servico;criado_em;MARCAR_DUPLICADO_SIM_NAO
P001;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;90e4a533-7e09-42a3-80dd-5ef0bf51060f;Coxim Câmbio ;Sem Marca;;;;-1;0; R$ -   ;;2026-05-06T17:32:12.65769+00:00;
P001;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;1f61f51d-cf2f-4e1f-9ace-e65f7d951b66;COXIM CAMBIO;Sem Marca;;;;-2;0; R$ -   ;;2026-07-13T19:40:50.056933+00:00;
P003;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;98a3413d-caee-46ef-b664-7b18e8cecfe3;Parafuso de roda 12mm ;Sem Marca;;;;-1;0; R$ -   ;;2026-05-14T17:07:53.485389+00:00;
P003;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;ae65c937-eeb4-433d-892e-87e32ceae4f2;PARAFUSO DE RODA 12MM;Sem Marca;;;;-1;0; R$ -   ;;2026-08-11T12:17:16.777977+00:00;
P005;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;92a8bcb3-7151-438a-a872-8d0fabffd818;Oleo 5w40 ;Sem Marca;;;27101932;-4;0; R$ -   ;;2026-05-14T20:07:57.423232+00:00;
P005;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;55781932-dbd0-42b4-bd8a-e96ea4fd140d;Óleo 5w40;Sem Marca;;;;-1;0; R$ -   ;;2026-05-14T17:10:00.978488+00:00;
P005;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c38796f3-9e94-44fc-a06d-9c946d6641fa;OLEO 5W40;Sem Marca;;;;-2;0; R$ -   ;;2026-07-23T14:27:19.279181+00:00;
P008;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;4ac4111d-a55c-4df3-b50c-58671022b113;Filtro de óleo ;Sem Marca;;;;-2;0; R$ -   ;;2026-05-14T17:09:25.599606+00:00;
P008;PRODUTO;MEDIA;"nomes muito semelhantes; confirmar aplicação, marca ou referência";0.857;842af8bd-2990-486c-86c4-9a69fb331f10;FILTRO DE OLEO GM ;Sem Marca;31721;;;8;1; R$ 122,50 ;;2026-04-29T12:16:52.684535+00:00;
P008;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;83775386-030f-44ce-b6ca-46acda51ba4a;FILTRO DE OLEO;;;;;-3;1; R$ 20,47 ;;2026-07-06T13:30:27.988734+00:00;
P008;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;27014f98-2e89-4737-9f77-bfe5c621b7c9;Filtro de oleo ;Sem Marca;;;84212300;-5;0; R$ -   ;;2026-05-14T20:06:53.936182+00:00;
P012;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;fa09df41-9855-428e-82cb-66c8e1dbcebb;Cilindro Mestre;Sem Marca;;;;-1;0; R$ -   ;;2026-05-25T17:50:15.418077+00:00;
P012;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;da1e9c58-d159-4cd4-a44d-2df3dffad83f;CILINDRO MESTRE ;;;;;-2;1; R$ 423,50 ;;2026-07-02T14:09:24.633579+00:00;
