grupo;tipo;confianca;motivo;similaridade_base;id;nome;marca;codigo_ref;ean;ncm;estoque_atual;estoque_min;preco_ou_valor;codigo_servico;criado_em;MARCAR_DUPLICADO_SIM_NAO
P001;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;90e4a533-7e09-42a3-80dd-5ef0bf51060f;Coxim Câmbio ;Sem Marca;;;;-1;0;0;;2026-05-06T17:32:12.65769+00:00;
P001;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;1f61f51d-cf2f-4e1f-9ace-e65f7d951b66;COXIM CAMBIO;Sem Marca;;;;-2;0;0;;2026-07-13T19:40:50.056933+00:00;
P003;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;98a3413d-caee-46ef-b664-7b18e8cecfe3;Parafuso de roda 12mm ;Sem Marca;;;;-1;0;0;;2026-05-14T17:07:53.485389+00:00;
P003;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;ae65c937-eeb4-433d-892e-87e32ceae4f2;PARAFUSO DE RODA 12MM;Sem Marca;;;;-1;0;0;;2026-08-11T12:17:16.777977+00:00;
P005;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;92a8bcb3-7151-438a-a872-8d0fabffd818;Oleo 5w40 ;Sem Marca;;;27101932;-4;0;0;;2026-05-14T20:07:57.423232+00:00;
P005;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;55781932-dbd0-42b4-bd8a-e96ea4fd140d;Óleo 5w40;Sem Marca;;;;-1;0;0;;2026-05-14T17:10:00.978488+00:00;
P005;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c38796f3-9e94-44fc-a06d-9c946d6641fa;OLEO 5W40;Sem Marca;;;;-2;0;0;;2026-07-23T14:27:19.279181+00:00;
P008;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;4ac4111d-a55c-4df3-b50c-58671022b113;Filtro de óleo ;Sem Marca;;;;-2;0;0;;2026-05-14T17:09:25.599606+00:00;
P008;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;27014f98-2e89-4737-9f77-bfe5c621b7c9;Filtro de oleo ;Sem Marca;;;84212300;-5;0;0;;2026-05-14T20:06:53.936182+00:00;
P010;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f187399f-6800-4fc3-ab48-d76aa034b92d;Kit Embreagem;Sem Marca;;;;-1;0;0;;2026-05-18T19:07:52.473231+00:00;
P010;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c5d14f26-62ff-4c80-849a-d27c48a6693d;KIT EMBREAGEM;Sem Marca;;;;0;0;0;;2026-08-05T12:15:17.302284+00:00;
P012;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;94942301-6eb9-4d32-8e6e-ec815dd0f4cc;Aditivo ;Sem Marca;;;38200000;-1;0;0;;2026-04-24T15:11:08.728732+00:00;
P012;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;1f4a91f0-03c3-4e29-b758-850620bb8049;Aditivo;Sem Marca;;;;-6;0;0;;2026-04-24T15:10:00.900426+00:00;
P014;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;59c6c7c0-8904-4ab9-8347-12cfdcb5171c;Junta Tampa de Válvula;Sem Marca;;;;-2;0;0;;2026-05-08T18:24:24.998772+00:00;
P014;PRODUTO;ALTA;nomes praticamente idênticos;0.967;45862f9f-a904-4bb4-916a-965dfb17b0fb;JUNTA DE TAMPA DE VALVULA;Sem Marca;;;;-1;0;0;;2026-07-13T20:11:20.940884+00:00;
P016;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;ae605438-fa22-4bf5-ba5f-44452f6863b7;Jg de parafuso cabeçote ;Sem Marca;;;;-1;0;0;;2026-05-14T19:53:20.253535+00:00;
P016;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;e91ba3c0-ca94-4d0f-bece-0be86125c4a4;JOGO DE PARAFUSO - CABEÇOTE ;Sem Marca;;;73181500;-2;0;0;;2026-06-30T18:44:05.403705+00:00;
P018;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;0a2cbdf3-ac45-45f6-b14b-011e62caba72;Óleo 80w90 Câmbio;Sem Marca;;;;-1;0;0;;2026-05-18T19:43:51.301201+00:00;
P018;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;44651462-e902-43ee-a167-4c4a1383adb3;OLEO 80W90 CAMBIO;Sem Marca;;;;2;0;0;;2026-07-29T13:08:04.593609+00:00;
P020;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;b6213670-44e4-4c5e-8ee8-c9fc79a4ed87;Correia alternador v;Sem Marca;;;;-2;0;0;;2026-05-28T12:13:08.618161+00:00;
P020;PRODUTO;ALTA;nomes praticamente idênticos;0.944;f7af6bd3-0e5b-45ff-a987-712962d98754;CORREIA ALTERNADOR ;Sem Marca;;;;0;0;0;;2026-07-27T20:23:38.628457+00:00;
P022;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;c1175eed-3e10-42d7-8920-3b2209f034cb;Óleo ATF ;Sem Marca;;;;-1;0;0;;2026-05-07T17:07:19.65607+00:00;
P022;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;f7d76135-cc35-4db8-8c64-505645e8e17c;OLEO ATF ;Sem Marca;;;;-3;0;0;;2026-07-08T20:26:59.016551+00:00;
P024;PRODUTO;ALTA;mesmo nome após normalizar acentos, pontuação e abreviações;1.000;8e342f99-0a88-42ad-81cd-03199bf3ef2d;Correia do comando de valvula ;Sem Marca;;;;-1;0;0;;2026-05-14T19:58:34.212677+00:00;
